^Email addresses are only listed for schools that agreed to have their email publicly released. Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007.,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
*Principal names are available for State and State Integrated Schools. Principal names for Private Schools are provided where available.  The most up to date information that we have available has been provided.  Recent changes may not be reflected.,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,
Directory of Schools - as at 5/11/2014,,Contact Details,,,,,Location,,,Postal Address,,,,,Institution Information,,,,Regional Information,,,,,,,,,,Decile and Indicative Roll information October 2014,,,,,,,,
School ID,Name,Telephone,Fax,Email^,Principal*,School website,Street,Suburb,City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Longitude ,Latitude,Decile,Total School Roll,European/ Pakeha,Maori,Pasifika,Asian,MELAA,Other,International Students
1953,St Joseph's Catholic School (Te Kuiti),07 8788190,07 8788190,office@stjosephtk.school.nz,Suzanne Downey,,Queen Street,,Te Kuiti,PO Box 124,,Te Kuiti,3941,Minor Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Waitomo District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Te Kuiti,Te Kuiti Ward,175.164606,-38.340262,4,96,64,18,8,6,0,0,0
1954,St Joseph's Catholic School (Waihi),07 8638653,07 8638639,office@wsj.school.nz,Shaun O'Leary,http://www.stjoswaihi.school.nz,91 Mueller Street,,Waihi,91 Mueller Street,,Waihi,3610,Minor Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Hauraki District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Waihi,Waihi Ward,175.845002,-37.392955,3,73,57,12,0,4,0,0,0
1955,St Joseph's Catholic School (Whakatane),07 3088920,07 3088922,office@stjosephswhakatane.school.nz,Jodie-Ann Brady,http://www.stjosephswhakatane.school.nz/,101 King Street,,Whakatane,PO Box 2097,Kopeopeo,Whakatane,3159,Secondary Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Allandale-Mokorua,Whakatane-Ohope Ward,176.982539,-37.964493,6,240,152,65,2,17,3,1,0
1957,St Mary's Catholic School (Putaruru),07 8851006,07 8851008,office@stmarysput.school.nz,Jennifer MacKenzie,,5 Mckenzie Street,,Putaruru,5 Mackenzie Street,,Putaruru,3411,Minor Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Putaruru,Putaruru Ward,175.77944,-38.047376,4,209,120,58,3,25,1,2,0
1958,St Mary's Catholic School (Rotorua),07 3481701,07 3481209,admin@stmarys.rotorua.school.nz,David Macmillan,http://www.stmarysrotorua.school.nz,37 Carnot Street,Glenholme,Rotorua,PO Box 1213,,Rotorua,3040,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Glenholme East,Area Outside Ward,176.248196,-38.146855,5,409,228,73,23,72,10,2,1
1959,St Mary's Catholic School (Tauranga),07 5788066,07 5788956,office@stmarystga.school.nz,Ben Fuller,http://www.stmarystga.school.nz/,13th Avenue,,Tauranga,Thirteenth Avenue,Tauranga South,Tauranga,3112,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Tauranga,Waiariki,Tauranga South,Te Papa-Welcome Bay Ward,176.166143,-37.706388,9,413,316,45,3,36,1,0,12
1960,St Michael's Catholic School (Rotorua),07 3481362,07 3481845,admin@stmichaelsrotorua.school.nz,Shelly Fitness,http://www.stmichaelsrotorua.school.nz,Lisa Crescent,Western Heights,Rotorua,PO Box 8041,Western Heights,Rotorua,3047,Main Urban Area,Contributing,Not Applicable,State: Integrated,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Mangakakahi,Area Outside Ward,176.21988,-38.131417,3,176,82,79,6,8,1,0,0
1961,St Patrick's Catholic Sch (Taumarunui),07 8956933,07 8956034,admin1@stpats-tmn.school.nz,Shayne Kidd,http://www.stpats-tmn.school.nz/,12 High Street,,Taumarunui,12 High Street,,Taumarunui,3920,Minor Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Waikato,Rangitikei,Te Tai Hauauru,Taumarunui Central,Taumarunui Ward,175.259539,-38.880474,4,82,44,32,0,4,2,0,0
1962,St Patrick's Catholic Sch (Te Awamutu),07 8714669,07 8714818,principal@stpatta.co.nz,Brian Belczacki,http://www.stpatta.co.nz,625 Alexandra Street,,Te Awamutu,PO Box 300,,Te Awamutu,3840,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Awamutu Central,Te Awamutu Ward,175.319307,-38.008559,7,285,209,42,5,20,5,4,0
1963,St Paul's Catholic School (Ngaruawahia),07 8248603,07 8248612,office@stpaulsnga.school.nz,Paul Keogh,http://www.stpaulsnga.school.nz/,Belt Street,,Ngaruawahia,PO Box 55,,Ngaruawahia,3742,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Ngaruawahia,Ngaruawahia Ward,175.155337,-37.672652,3,128,72,48,5,3,0,0,0
1964,St Peter Chanel Catholic Sch (Te Rapa),07 8493734,07 8494183,admin@spc.ac.nz,Nicholas Quinn,http://www.spc.ac.nz,5 Vardon Street,Te Rapa,Hamilton,5 Vardon Road,Saint Andrews,Hamilton,3200,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Beerescourt,West Ward,175.253233,-37.76428,8,301,216,31,16,29,7,2,0
1965,St Peter's Catholic School (Cambridge),07 8276623,07 8232660,st.pecs@xtra.co.nz,Debra White,http://www.stpeterscatholic.school.nz,22 Anzac Street,,Cambridge,22 Anzac Street,,Cambridge,3434,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taupo,Hauraki-Waikato,Cambridge Central,Cambridge Ward,175.472146,-37.892754,9,165,140,3,5,11,6,0,0
1966,St Pius X Catholic School (Melville),07 8436554,07 8436557,info@stpius.school.nz,Jane Rutherford,http://www.stpius.school.nz,57 Pine Avenue,Melville,Hamilton,57 Pine Avenue,Melville,Hamilton,3206,Main Urban Area,Full Primary,Not Applicable,State: Integrated,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Melville,West Ward,175.288082,-37.81316,4,155,44,26,14,64,5,2,0
1967,Stanley Avenue School,07 8848479,07 8849571,office@stanleyave.school.nz,Stuart Armistead,http://www.stanleyave.school.nz,Stanley Avenue,,Te Aroha,Stanley Avenue,,Te Aroha,3320,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Te Aroha,Te Aroha Ward,175.697473,-37.547302,5,280,162,88,5,20,5,0,0
1968,Strathmore School,07 8869765,07 8869765,office@strathmore.school.nz,Murray Kendrick,http://www.strathmore.school.nz,Strathmore Drive,,Tokoroa,Strathmore Drive,,Tokoroa,3420,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Strathmore,Tokoroa Ward,175.87129,-38.233595,1,181,9,120,52,0,0,0,0
1970,Sunset Primary School,07 3484289,07 3436204,office@sunset.school.nz,Niels Rasmussen,http://sunsetprimaryschool.com,Sunset Road,Fordlands,Rotorua,PO Box 500,,Rotorua,3040,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Fordlands,Area Outside Ward,176.223221,-38.139067,1,107,3,87,17,0,0,0,0
1971,Te Kura o Tahaaroa,07 8767335,07 8767335,taharoa.sch@xtra.co.nz,Yvonne Armstrong,,Taharoa Road RD 8,,Te Kuiti,Taharoa Road,RD 8,Te Kuiti,3988,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitomo District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Taharoa,Waitomo Rural Ward,174.732873,-38.149441,3,33,0,33,0,0,0,0,0
1972,Tahuna School,07 8875848,07 8875849,admin@tahunaschool.school.nz,Jeremy Pollard,http://www.tahunaschool.school.nz,Tahuna Ohinewai Road,,Tahuna,Tahuna-Ohinewai Road,RD 3,Morrinsville,3373,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Tahuroa,Morrinsville Ward,175.489287,-37.501903,6,74,61,10,0,2,0,1,0
1974,Tainui Full Primary School,07 8869860,07 8869863,djohn@tainuifullprimary.school.nz,Tania Morrison,http://www.tainuifullprimary.school.nz,Tainui Street,,Tokoroa,Tainui Street,,Tokoroa,3420,Secondary Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Aotea,Tokoroa Ward,175.85781,-38.241778,2,190,36,121,32,1,0,0,0
1975,Tairua School,07 8648590,07 8647490,,Brendan Finn,http://www.tairuaschool.com,110 Main Road,,Tairua,110 Main Road,,Tairua,3508,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Tairua,South Eastern Ward,175.846526,-37.011525,7,129,91,33,1,2,0,2,0
1976,Tamahere Model Country School,07 8569238,07 8568380,reception@tamahere.school.nz,Waveney Parker,http://www.tamahere.school.nz/,37 Devine Road,Tamahere,Hamilton,Devine Road,RD 3,Hamilton,3283,Main Urban Area,Contributing,Model School,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Tamahere-Tauwhare,Tamahere Ward,175.354046,-37.8265,10,416,367,32,2,11,4,0,0
1978,Taneatua School,07 3129365,07 3129365,admin@taneatua.school.nz,Kahu Walker,,44 Mckenzie Street,,Taneatua,44 McKenzie Street,,Taneatua,3123,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Taneatua,Taneatua-Waimana Ward,177.009344,-38.065102,1,224,0,224,0,0,0,0,0
1980,Tapu School,07 8684838,07 8684839,tapu.school@gmail.com,Judy Caroll,http://www.tapu.school.nz,Thames Coast Road,Tapu,Thames,Thames Coast Road,RD 5,Thames,3575,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Hikuai,Thames Ward,175.501159,-36.985384,4,13,2,11,0,0,0,0,0
1982,Tarrangower School,07 8958960,07 8958960,office@tarrangower.school.nz,Jocelyn Beaton,http://www.tarrangower.school.nz,25 Manson Street,,Taumarunui,25 Manson Street,,Taumarunui,3920,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Waikato,Rangitikei,Te Tai Hauauru,Tarrangower,Taumarunui Ward,175.25191,-38.867918,1,35,5,28,1,1,0,0,0
1983,Tatuanui School,07 8895578,07 8895581,tatuanui@tatuanui.school.nz,Denise Jones,http://www.tatuanui.school.nz,State Highway 27,,Tatuanui,4513 State Highway 27,RD 4,Morrinsville,3374,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Waihou-Walton,Morrinsville Ward,175.597466,-37.621803,9,98,71,11,3,5,1,7,0
1984,Tauhara School,07 3787755,07 3770174,admin@tauharaprimary.school.nz,Beverley Purdie,http://www.tauhara.knowledge.net.nz,90 Crown Road,Tauhara,Taupo,90 Crown Road,Tauhara,Taupo,3330,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Taupo,Waiariki,Hilltop,Taupo-Kaingaroa Ward,176.100389,-38.691376,3,213,29,173,9,0,2,0,0
1985,Tauhei Combined School,07 8876844,07 8876848,admin@tauhei.schoolzone.net.nz,Gaylene Brown,http://www.tauhei.schoolzone.net.nz/,860 Tauhei Road,,Tauhei,860 Tauhei Road,RD 5,Morrinsville,3375,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Tahuroa,Morrinsville Ward,175.430749,-37.602299,7,59,41,10,1,4,1,2,0
1986,Taumarunui Primary School,07 8957131,07 8957139,office@taumarunui.school.nz,Bethwen Crockett,http://www.taumarunui.school.nz,Maata Street,,Taumarunui,Maata Street,,Taumarunui,3920,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Waikato,Rangitikei,Te Tai Hauauru,Taumarunui Central,Taumarunui Ward,175.27109,-38.883558,1,150,12,134,1,2,0,1,0
1987,Taupiri School,07 8246713,07 8246535,office@taupiri.school.nz,Sheralyn Cook,,Greenlane Road,,Taupiri,Greenlane Road,,Taupiri,3721,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Taupiri Community,Ngaruawahia Ward,175.187846,-37.613665,3,41,15,26,0,0,0,0,0
1988,Taupo Intermediate,07 3788097,07 3788618,admin@taupointermediate.co.nz,William Clarke,http://www.taupointermediate.co.nz,Kotare Street,Hilltop,Taupo,Kotare Street,Hilltop,Taupo,3330,Secondary Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Taupo,Waiariki,Hilltop,Taupo-Kaingaroa Ward,176.096893,-38.69762,6,555,315,199,14,18,3,5,1
1989,Taupo School,07 3784389,07 3789633,office@taupoprimary.school.nz,Cushla Seamer,http://www.taupoprimary.school.nz,Tamamutu Street,,Taupo,Tamamutu Street,,Taupo,3330,Secondary Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Taupo,Waiariki,Taupo Central,Taupo-Kaingaroa Ward,176.073775,-38.687286,5,496,269,189,12,19,7,0,0
1990,Tauranga Intermediate,07 5784401,07 5782618,info@tauranga-int.school.nz,Brian Diver,http://www.tauranga-int.school.nz/,30 18Th Avenue The Avenues,Tauranga Central,Tauranga,PO Box 2141,Seventh Avenue,Tauranga,3140,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Tauranga,Waiariki,Tauranga South,Te Papa-Welcome Bay Ward,176.15433,-37.713032,5,1163,621,376,49,73,15,5,24
1991,Tauranga Primary School,07 5786222,07 5785528,office@tauranga.school.nz,Fiona Hawes,http://www.tauranga.school.nz/,31 Fifth Avenue,,Tauranga,31 Fifth Avenue,,Tauranga,3110,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Tauranga,Waiariki,Tauranga Central,Te Papa-Welcome Bay Ward,176.16398,-37.691996,7,457,309,68,9,51,6,2,12
1992,Gate Pa School,07 5785325,07 5786115,office@gatepa.school.nz,Richard Inder,http://www.gatepa.school.nz,900 Cameron Road South,Gate Pa,Tauranga,900 Cameron Road,Gate Pa,Tauranga,3112,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Tauranga,Waiariki,Tauranga South,Te Papa-Welcome Bay Ward,176.145836,-37.711142,2,274,62,134,41,34,2,1,0
1994,Tauriko School,07 5430430,07 5430438,ktaylor@tauriko.school.nz,Suzanne Billington,http://www.tauriko.school.nz,State Highway 29,Tauriko,Tauranga,State Highway 29,RD 1,Tauranga,3171,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Tauranga,Waiariki,Bethlehem,Otumoetai-Pyes Pa Ward,176.095296,-37.740732,9,257,205,36,6,6,3,1,0
1995,Tauwhare School,07 8240864,07 8240864,admin@tauwhare.school.nz,Fiona Bradley,http://www.tauwhare.school.nz,26 Scotsman Valley Road,,Hamilton,26 Scotsman Valley Road,RD 7,Hamilton,3287,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Tamahere-Tauwhare,Eureka Ward,175.455519,-37.77285,7,169,126,37,1,3,2,0,0
1996,Tawera Bilingual School,07 3129187,,taweraschool@farmside.co.nz,Hiria Te Moana,,164 Ngahina Road,Ruatoki,Whakatane,Ngahina Road,RD 1,Whakatane,3191,Rural Area,Full Primary,Bilingual School,State: Not integrated,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Urewera,Taneatua-Waimana Ward,176.98582,-38.151864,3,34,0,34,0,0,0,0,0
1998,Te Akau School,07 8254777,07 8254776,office@teakau.school.nz,Aroha Gaylor,http://www.schoolground.co.nz/teakau,Te Akau Road,,Te Akau,Te Akau Road,RD 1,Ngaruawahia,3793,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Akau,Whaingaroa Ward,174.873561,-37.668977,8,29,19,9,1,0,0,0,0
1999,Te Aroha Primary School,07 8848803,07 8848823,admin@tearohaprimary.school.nz,Kevin Johnson,,Jubilee Avenue,,Te Aroha,Jubilee Avenue,,Te Aroha,3320,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Te Aroha,Te Aroha Ward,175.709553,-37.537543,3,182,106,53,16,4,3,0,0
2001,Te Awamutu Intermediate,07 8716377,07 8702292,office@teawamutuint.school.nz,Dale McCabe,http://teawamutuint.school.nz,646 Hazelmere Crescent,,Te Awamutu,PO Box 357,,Te Awamutu,3840,Main Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Awamutu South,Te Awamutu Ward,175.332486,-38.017685,5,439,277,142,6,4,5,5,0
2002,Te Awamutu Primary School,07 8715378,07 8714957,office@taps.school.nz,Gareth Duncan,http://www.taps.school.nz,401 Teasdale Street,,Te Awamutu,401 Teasdale Street,,Te Awamutu,3800,Main Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Awamutu Central,Te Awamutu Ward,175.318627,-38.012106,5,462,272,145,19,15,9,2,0
2005,Te Kauwhata Primary School,07 8263564,07 8263850,office@tkp.school.nz,Vicki Saunders,http://www.tkp.school.nz,Wira Street,,Te Kauwhata,PO Box 46,,Te Kauwhata,3741,Minor Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Te Kauwhata,Whangamarino Ward,175.145245,-37.404211,5,269,141,102,11,13,2,0,0
2007,Te Kowhai School,07 8297860,07 8297598,admin@tekowhai.school.nz,Anthony Grey,http://www.tekowhai.school.nz,Horotiu Road,,Te Kowhai,Horotiu Road,RD 8,Hamilton,3288,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Kowhai,Newcastle Ward,175.153339,-37.739282,10,336,300,32,1,3,0,0,0
2008,Te Kuiti Primary School,07 8787746,07 8787745,admin@tekuiti.school.nz,Judith Wootton,http://www.tekuiti.school.nz,Rora Street,,Te Kuiti,PO Box 252,,Te Kuiti,3941,Minor Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waitomo District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Te Kuiti,Te Kuiti Ward,175.160825,-38.328753,2,331,123,183,8,14,2,1,0
2009,Te Mahoe School,07 3228210,07 3228210,,Andrew Dunseath,,842 Galatea Road,Lake Matahina,Whakatane,842 Galatea Road,RD 2,Whakatane,3192,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Rotoma,Rangitaiki Ward,176.816074,-38.108728,1,39,0,39,0,0,0,0,0
2010,Te Mata School (Raglan),07 8256870,07 8258325,admin@temataraglan.school.nz,Pamela Quirke,,778 Te Mata Road,,Raglan,778 Te Mata Road,RD 2,Raglan,3296,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Uku,Raglan Ward,174.867008,-37.880361,5,81,62,13,3,0,0,3,0
2011,TKKM o Te Matai,07 5738470,07 5738417,tari@tematai.school.nz,Te Taiawatea Wihapi,,309 State Highway 2,Waitangi,Te Puke,PO Box 343,,Te Puke,3153,Rural Area,Full Primary,Kura Kaupapa Maori,State: Not integrated,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Rangiuru,Te Puke Ward,176.359012,-37.791679,2,42,1,41,0,0,0,0,0
2012,Te Miro School,07 8278146,07 8278186,office@temiro.school.nz,Charmaine Bartling,http://www.temiro.school.nz,443 Te Miro Road,Te Miro,Cambridge,443 Te Miro Road,RD 4,Cambridge,3496,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Karapiro,Maungatautari Ward,175.545052,-37.807123,10,36,31,5,0,0,0,0,0
2013,Te Pahu School,07 8259849,07 8259842,office@tepahu.school.nz,Aaron West,http://www.tepahu.school.nz,671 Te Pahu Road,Te Pahu,Hamilton,671 Te Pahu Road,RD 5,Hamilton,3285,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Pahu,Pirongia Ward,175.138918,-37.923811,9,116,96,17,0,2,0,1,0
2014,Te Poi School,07 8882704,,office@tepoi.school.nz,Linda Larsen (nee Woolhouse),http://www.tepoi.school.nz,Stopford Road,Te Poi,Matamata,Stopford Road,RD 3,Matamata,3473,Rural Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Te Poi,Matamata Ward,175.847828,-37.870703,5,52,37,14,0,1,0,0,0
2015,Te Puke Intermediate,07 5739352,07 5739333,admin@tepukeint.school.nz,Jillian Weldon,,Cameron Road,,Te Puke,133 Cameron Road,,Te Puke,3119,Minor Urban Area,Intermediate,Not Applicable,State: Not integrated,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Te Puke West,Te Puke Ward,176.315236,-37.796326,4,298,141,114,13,23,3,4,0
2016,Te Puke Primary School,07 5737434,07 5734285,principal@tepukeprimary.school.nz,Shane Cunliffe,http://www.tepukeprimary.school.nz,Cameron Road,,Te Puke,Cameron Road,,Te Puke,3119,Minor Urban Area,Contributing,Not Applicable,State: Not integrated,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Te Puke West,Te Puke Ward,176.316123,-37.7876,3,321,137,113,28,41,1,1,0
2017,Te Puna School,07 5525715,07 5524514,admin@tepuna.school.nz,Neil Towersey,http://www.tepuna.school.nz,Te Puna Road,,Te Puna,Te Puna Road,RD 6,Tauranga,3176,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Bay of Plenty,Waiariki,Te Puna,Kaimai Ward,176.07668,-37.675658,8,212,116,94,2,0,0,0,0
2019,Te Ranga School,07 5738032,07 5736932,office@teranga.school.nz,Brendan Wilson,http://www.teranga.school.nz,Te Matai Road,,Te Puke,1492 Te Matai Road,RD 8,Te Puke,3188,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,Rotorua,Waiariki,Rangiuru,Maketu Ward,176.272442,-37.904354,5,108,62,34,2,2,0,8,0
2020,Te Rapa School,07 8492232,07 8509280,admin@terapa.school.nz,Vaughan Franklin,http://www.terapa.school.nz,61 Ashurst Avenue,Te Rapa,Hamilton,PO Box 10280,Te Rapa,Hamilton,3241,Main Urban Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Pukete West,West Ward,175.236038,-37.739398,8,556,356,145,19,26,9,1,0
2021,Te Rerenga School,07 8664096,07 8664073,admin@tererenga.school.nz,Anna Yates,http://www.tererenga.school.nz,1229 Whangapoua Road,,Te Rerenga,Whangapoua Road,RD 2,Coromandel,3582,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Te Rerenga,Mercury Bay Ward,175.596633,-36.754585,5,61,44,13,1,3,0,0,0
2023,Te Kura o Te Teko,07 3228442,07 3228980,admin@teteko.school.nz,Anthony Holland,http://www.teteko.school.nz,Te Teko Highway,,Te Teko,PO Box 5,,Te Teko,3167,Rural Area,Full Primary,Bilingual School,State: Not integrated,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Rotorua/Taupo,East Coast,Waiariki,Te Teko,Rangitaiki Ward,176.797505,-38.0342,1,160,1,156,3,0,0,0,0
2024,Te Uku School,07 8255815,07 8255835,office@teuku.school.nz,Rachel Allan,http://teuku.ultranet.school.nz,3436 State Highway 23,Raglan,Te Uku,Te Uku Store PDC,,Te Uku,3266,Rural Area,Full Primary,Not Applicable,State: Not integrated,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Uku,Raglan Ward,174.957155,-37.828021,5,153,112,34,2,3,2,0,0
